epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
76,190.764,0.84337,1.76725,0.73458,1.07745,0,0.92447,0.86002,0.92271,0.67718,0.90333,0.82835,0.87404,0.55307,1.03706,1.79653,0.84433,0.99402,0,0.000367967,0.000367967,0.000367967
77,192.937,0.83731,1.827,0.72304,1.05222,0,0.85198,0.90779,0.92589,0.68192,0.85198,0.90779,0.92589,0.5632,1.00074,1.7467,0.82731,0.9686,0,0.00035382,0.00035382,0.00035382
78,195.097,0.85734,1.82775,0.75233,1.07634,0,0.90837,0.93699,0.95606,0.70189,0.89046,0.91111,0.92911,0.55893,0.94829,1.79273,0.76573,0.94342,0,0.000339673,0.000339673,0.000339673
79,197.26,0.8385,1.79203,0.75291,1.06346,0,0.91374,0.93333,0.95814,0.6995,0.90356,0.88846,0.92367,0.57323,0.99141,1.72978,0.74987,0.94657,0,0.000325526,0.000325526,0.000325526
80,199.38,0.85941,1.88387,0.73793,1.06267,0,0.90144,0.93333,0.97005,0.71068,0.92659,0.86758,0.93929,0.60047,0.98309,1.6754,0.74758,0.94831,0,0.000311379,0.000311379,0.000311379
81,201.51,0.81563,1.85015,0.73279,1.06399,0,0.90637,0.94162,0.97067,0.71521,0.89324,0.91774,0.94375,0.60564,0.96162,1.72012,0.77743,0.95068,0,0.000297232,0.000297232,0.000297232
82,203.645,0.87372,1.90636,0.75057,1.07787,0,0.90424,0.95261,0.96264,0.70128,0.92987,0.89722,0.94164,0.59385,0.96616,1.76562,0.77906,0.96467,0,0.000283085,0.000283085,0.000283085
83,205.71,0.83049,1.88253,0.72319,1.04824,0,0.92554,0.88148,0.94392,0.71511,0.92554,0.88148,0.94332,0.60454,0.97716,1.74854,0.75482,0.96628,0,0.000268938,0.000268938,0.000268938
84,207.77,0.85513,1.84641,0.73133,1.07342,0,0.94962,0.87109,0.96902,0.72009,0.9303,0.85278,0.94369,0.59401,0.96354,1.762,0.74076,0.96832,0,0.000254791,0.000254791,0.000254791
85,209.806,0.8359,1.8909,0.75005,1.08057,0,0.93062,0.85278,0.95078,0.71976,0.93062,0.85278,0.94127,0.5912,0.96431,1.73639,0.73799,0.97234,0,0.000240644,0.000240644,0.000240644
